trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
32,0,32,0,60.051965,61.0523243,61.0523243,0,up,1,0.5238251,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
33,0,33,0,61.6021333,62.6021205,62.6021205,0,up,1,0.7330235,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
34,0,34,0,63.3521784,64.3522944,64.3522944,0,up,1,0.4329028,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
35,0,35,0,64.8018519,65.8020987,65.8020987,0,up,1,0.4010081,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
36,0,36,0,66.2350405,67.2353526,67.2353526,-5,down,1,0.5456039,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
37,0,37,0,67.8017709,68.8020232,68.8020232,0,up,0,0.4304275,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
38,0,38,0,69.2516177,70.2521353,70.2521353,3,up,0,0.5202854,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
39,0,39,0,70.8015534,71.8017208,71.8017208,0,up,1,0.3997634,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
40,0,40,0,72.228545,73.2352201,73.2352201,0,up,1,0.4687823,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
41,0,41,0,73.734854,74.7351853,74.7351853,0,up,1,0.4872389,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
42,0,42,0,75.251426,76.2517482,76.2517482,0,up,1,0.4307506,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
43,0,43,0,76.7013184,77.7016943,77.7016943,0,up,1,0.5037733,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
44,0,44,0,78.2344804,79.234859,79.234859,0,up,1,0.6361567,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
45,0,45,0,79.9011619,80.9017365,80.9017365,4,down,1,0.5596598,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
46,0,46,0,81.4844269,82.4846235,82.4846235,0,up,1,0.5459479,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
47,0,47,0,83.063479,84.0678891,84.0678891,-4,down,1,0.5777074,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
48,0,48,0,84.667567,85.7020803,85.7020803,-5,up,0,0.4047571,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
49,0,49,0,86.1343229,87.1345788,87.1345788,2,up,0,0.6850352,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
50,0,50,0,87.8507578,88.8512133,88.8512133,0,up,1,0.4700844,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
51,0,51,0,89.3506133,90.3510651,90.3510651,4,down,1,0.6030343,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
52,0,52,0,91.0177368,92.0176785,92.0176785,-2,up,0,0.3997917,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
53,0,53,0,92.4338776,93.4343073,93.4343073,-1,up,0,0.4567562,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
54,0,54,0,93.9172781,94.9176168,94.9176168,0,up,1,0.4866334,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
55,0,55,0,95.433845,96.4339933,96.4339933,2,down,1,0.6841922,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
56,0,56,0,97.1504079,98.1507247,98.1507247,0,up,1,0.5364758,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
57,0,57,0,98.7170918,99.717295,99.717295,0,up,0,0.4939356,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
58,0,58,0,100.233542,101.2340917,101.2340917,0,up,1,0.4571144,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
59,0,59,0,101.7168391,102.7171935,102.7171935,1,up,0,0.5538277,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
60,0,60,0,103.3000659,104.3050216,104.3050216,-1,up,0,0.5581841,None,559641,1,2023-09-09_20h45.37.141,TUTORIALS 2,2023.1.3,60.00020407
